n;empresa;score;url_contacto;mensaje;demo_url;slug;lead_id;email;web
"16";"Gabi Reformas";"7.5";"https://gabireformas.com/contacto/";"He visto que ofrecéis presupuesto sin compromiso, pero la solicitud os llega básicamente con nombre, email y un mensaje. Al final el compromiso de tiempo empieza después: entender la reforma, metros, alcance, inversión y decidir si merece la pena. He montado una demo con vuestra marca para que veáis cómo podría llegaros cada reforma ya explicada: https://presupuestos.nico-soto.es/demo/gabi-reformas";"https://presupuestos.nico-soto.es/demo/gabi-reformas";"gabi-reformas";"104c7b1c-15bd-43a2-a9b0-98efc843d106";"info@gabireformas.com";"https://gabireformas.com"
"17";"Reformas Bailén";"7.5";"http://www.reformasbailen.es/contacto";"He visto vuestro “solicita tu presupuesto gratis”, pero el formulario recoge nombre, email y mensaje. Cada solicitud todavía os obliga a hacer preguntas y entender el proyecto antes de saber si merece la pena presupuestarlo. He preparado una demo para enseñaros cómo podría llegaros ya cualificado: https://presupuestos.nico-soto.es/demo/reformas-bailen";"https://presupuestos.nico-soto.es/demo/reformas-bailen";"reformas-bailen";"815cac8e-a94c-418e-9201-61a934d01a28";"jbailenvillanueva.jlb@gmail.com";"http://www.reformasbailen.es"
"18";"Grupo G Reformas";"7.5";"https://grupogreformas.es";"Ya preguntáis el tipo de reforma, pero después el cliente tiene que describir el resto en texto libre. Ahí puede caber desde cambiar un baño hasta una integral de 120 m². Cada solicitud todavía requiere trabajo antes de saber si merece la pena. Os he montado una demo de cómo recoger todo eso antes de que llegue el lead: https://presupuestos.nico-soto.es/demo/grupo-g-reformas";"https://presupuestos.nico-soto.es/demo/grupo-g-reformas";"grupo-g-reformas";"ef70ef95-203c-4aa0-838a-dd07c309ac2d";"reformasgrupog@gmail.com";"https://grupogreformas.es"
"19";"Azahar Reformas Valencia";"7.5";"https://azaharreformasvalencia.com/contacto/";"He visto que vuestra solicitud recoge nombre, teléfono, email y “¿en qué podemos ayudarte?”. Es decir, prácticamente todo el trabajo de entender la reforma empieza después de recibir el lead. He montado una demo con vuestra marca para que cada solicitud os llegue con el proyecto mucho más claro antes de dedicarle tiempo: https://presupuestos.nico-soto.es/demo/azahar-reformas";"https://presupuestos.nico-soto.es/demo/azahar-reformas";"azahar-reformas";"5934ae89-b518-474b-9bbd-8bf0c711f580";"hola@azaharreformasvalencia.com";"https://azaharreformasvalencia.com"
"20";"Todo Reformas Valencia";"7.5";"https://www.todoreformasvalencia.com/contacto";"Me llamó la atención que os posicionéis para búsquedas de presupuesto de reforma de piso en Valencia, pero cuando llega el cliente el formulario apenas recoge sus datos y un mensaje. Cada solicitud todavía os obliga a reconstruir el proyecto antes de saber si merece la pena. He preparado una demo de cómo podría funcionar ese paso: https://presupuestos.nico-soto.es/demo/todo-reformas-valencia";"https://presupuestos.nico-soto.es/demo/todo-reformas-valencia";"todo-reformas-valencia";"4623cb24-817b-4f3d-bb1b-508868009ff3";"contacto@todoreformasvalencia.com";"https://www.todoreformasvalencia.com"
"21";"Reformas Orcu";"7.5";"https://reformasorcuhogar.com/contacto/";"Hacéis reformas integrales, cocinas y baños, pero el cliente tiene que explicar lo que quiere prácticamente desde cero en un mensaje. Luego sois vosotros quienes convertís eso en metros, estancias, trabajos e inversión. He montado una demo para enseñaros cómo podría llegaros esa información ya estructurada: https://presupuestos.nico-soto.es/demo/reformas-orcu";"https://presupuestos.nico-soto.es/demo/reformas-orcu";"reformas-orcu";"bc14ac7b-c043-49ab-932c-803b1def7c15";"reformasorcu@gmail.com";"http://reformasorcuhogar.com"
"22";"OBRAS VIP";"7.5";"https://www.obrasvip.com/solicita-un-presupuesto.html";"He visto que vuestro formulario ya pregunta cuándo quiere realizar el trabajo, pero no recoge metros, estancias, alcance ni inversión. Sabéis cuándo quiere empezar, pero todavía tenéis que averiguar casi todo lo demás antes de saber si merece la pena. He preparado una demo para completar justo esa parte: https://presupuestos.nico-soto.es/demo/obras-vip";"https://presupuestos.nico-soto.es/demo/obras-vip";"obras-vip";"ca85fdf2-fac2-40c2-8eab-d8aa891e7a62";"info@obrasvip.com";"https://www.obrasvip.com"
"23";"BONO PROYECTOS";"7.0";"https://bonoproyectos.es/contacto/";"Vendéis proyectos llave en mano, pero cuando alguien pide información entra por un formulario genérico y todavía tenéis que averiguar todo el alcance del proyecto. Cada solicitud os obliga a trabajar antes de saber si encaja realmente. He preparado una demo para enseñaros cómo podría llegaros mucho más definida: https://presupuestos.nico-soto.es/demo/bono-proyectos";"https://presupuestos.nico-soto.es/demo/bono-proyectos";"bono-proyectos";"8b140233-5038-4ac7-8913-73e5139b300d";"info@bonoporyectos.com";"http://www.bonoproyectos.es"
"24";"VGA Proyectos y Reformas";"7.0";"https://vgareformas.es";"He visto que ya preguntáis el tipo de servicio, pero la cualificación se queda ahí: no metros, estancias, timing, fotos ni inversión prevista. Cada solicitud todavía os obliga a completar todo eso después. He montado una demo con vuestra marca para enseñaros cómo podría llegaros el proyecto ya explicado: https://presupuestos.nico-soto.es/demo/vga-reformas";"https://presupuestos.nico-soto.es/demo/vga-reformas";"vga-reformas";"683b9b00-8813-4ab4-805c-40b5335d0144";"info@vgareformas.es";"https://vgareformas.es"
"25";"REFORMSPEED";"7.0";"https://reformspeed.es/solicitar-presupuesto/";"Tenéis una página específica para solicitar presupuesto, pero al final el cliente deja sus datos y os cuenta libremente lo que necesita. El trabajo de convertir eso en un proyecto presupuestable sigue siendo vuestro. He preparado una demo para que veáis cómo podría llegaros ya estructurado antes de dedicarle tiempo: https://presupuestos.nico-soto.es/demo/reformspeed";"https://presupuestos.nico-soto.es/demo/reformspeed";"reformspeed";"22698503-fbd0-4332-948b-ea06216e249f";"";"https://reformspeed.es"
"26";"Valltro · Grupo Expovall";"7.0";"https://grupoexpovall.com/contacto/";"He visto que la petición de presupuesto os llega básicamente como datos de contacto y un mensaje. Eso significa que cada nuevo lead todavía necesita una conversación para saber qué quiere, cuánto, cuándo y si realmente merece la pena presupuestarlo. He montado una demo para enseñaros cómo podría llegaros esa reforma ya explicada: https://presupuestos.nico-soto.es/demo/grupo-expovall";"https://presupuestos.nico-soto.es/demo/grupo-expovall";"grupo-expovall";"09818942-3fed-4fea-b5c7-c4d882856824";"presupuestos@grupoexpovall.com";"https://grupoexpovall.com"
