empresa,ciudad,nota,email,cluster,asunto,cuerpo,followup_asunto,followup_cuerpo,enviar,aviso
"Reformas Blancor","Alcorcón","9.0","info@reformasblancor.es","Gancho","metros, materiales y redistribución","Hola,

Vi que en tu página de presupuesto explicas que el precio de una integral depende de los metros, los materiales y la redistribución, y que el formulario de debajo no pregunta nada de eso.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: metros, materiales y redistribución","Hola de nuevo,

¿Quién lleva los presupuestos en Reformas Blancor? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Varada Reformas","Torrejón de Ardoz","9.0","","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","FALSE","Sin email: solo formulario o WhatsApp."
"Raynadecor","Móstoles","9.0","info@raynadecor.es","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"Construcciones J.D.M.","Alcobendas","9.0","","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","FALSE","Sin email: solo formulario o WhatsApp."
"Reformas Integrales Areal","Alcorcón","9.0","arealsl@arealsl.es","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Quality Reform","Fuenlabrada","8.5","","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","FALSE","Sin email: solo formulario o WhatsApp."
"Iasa Design","Rivas-Vaciamadrid","8.5","contacto@iasadesign.com","Gancho","de 4.850 € a 29.850 €","Hola,

Vi que publicas promociones con precio, desde 4.850 € un baño hasta 29.850 € una integral. Quien te escribe ya quiere una cifra, pero el formulario no pregunta qué reforma es ni cuántos metros tiene.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: de 4.850 € a 29.850 €","Hola de nuevo,

¿Quién lleva los presupuestos en Iasa Design? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Reformas Foydecor","Móstoles","8.5","foydecor@gmail.com","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"Reformas El Baúl","Móstoles","8.5","elbaul@reformaselbaul.com","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Reformas AlcoMad","Alcorcón","8.5","contacto@reformasalcomad.es","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
