"n";"empresa";"score";"url_contacto";"mensaje";"demo_url";"slug";"lead_id";"email";"web"
"1";"REFORMAS VALENCIA MyJ";"9.5";"https://reformasvalenciamj.es/presupuesto-online-reforma-integral-valencia/";"Hola, equipo de Reformas Valencia M&J:

He visto que ofrecéis ""Presupuesto Online"", pero al final el cliente os deja sus datos y un mensaje. Cada solicitud que os llega todavía os obliga a trabajar antes de saber si merece la pena: entender metros, estancias, alcance, presupuesto... He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada reforma ya explicada:

https://presupuestos.nico-soto.es/demo/reformas-valencia-myj

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/reformas-valencia-myj";"reformas-valencia-myj";"a135b871-ab13-48f8-8ba9-243ed752bcf8";"info@reformasvalenciamj.es";"http://www.reformasvalenciamj.es"
"2";"GrupoDMH Reformas Integrales";"9";"https://grupodmh.es/contacto/";"Hola, equipo de GrupoDMH Reformas Integrales:

Con más de 130 reseñas, imagino que solicitudes no os faltan. Me llamó la atención que sigan entrando básicamente como nombre, teléfono y mensaje. Eso significa que cada lead todavía os obliga a averiguar metros, estancias, alcance y presupuesto antes de saber si merece la pena. Os he montado una demo para enseñaros otra forma de recibirlas:

https://presupuestos.nico-soto.es/demo/grupodmh

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/grupodmh";"grupodmh";"8fc370de-112c-4178-a9b9-347e2dfe5477";"grupodmh.es@gmail.com";"https://grupodmh.es"
"3";"Reformas Nou Cabanyal";"9";"https://noucabanyal.com/contacto/";"Hola, equipo de Reformas Nou Cabanyal:

He visto que estáis muy centrados en reforma integral de vivienda, pero la solicitud de presupuesto prácticamente no recoge información sobre la propia vivienda. Al final cada solicitud os obliga a empezar después preguntando lo básico antes de saber si merece la pena. He montado una demo con vuestra marca para enseñaros cómo podría llegaros el proyecto ya explicado:

https://presupuestos.nico-soto.es/demo/nou-cabanyal

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/nou-cabanyal";"nou-cabanyal";"0ed0734e-989a-4f0b-80dc-4d031444ca0c";"hola@noucabanyal.com";"http://www.noucabanyal.com"
"4";"Reformas LUJAN";"8.5";"https://reformaslujan.es/contacto/";"Hola, equipo de Reformas Luján:

Tenéis unas 130 reseñas, pero cuando alguien pide información la web recoge poco más que nombre, email y mensaje. Cada solicitud que entra todavía os obliga a reconstruir el proyecto después antes de saber si realmente merece la pena presupuestarlo. He preparado una demo para enseñaros cómo podría llegaros ya cualificado:

https://presupuestos.nico-soto.es/demo/reformas-lujan

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/reformas-lujan";"reformas-lujan";"fa1048cc-87fc-465e-a2bc-441794e2a267";"lujanreformasintegrales@gmail.com";"http://www.reformaslujan.es"
"5";"Reformas Claiz";"8.5";"https://reformasclaiz.es/contacto/";"Hola, equipo de Reformas Claiz:

Me llamó la atención que, teniendo 5 estrellas y casi 90 reseñas, la petición de presupuesto se reduzca prácticamente a tres campos. El trabajo de entender la reforma empieza cuando ya ha llegado el lead. He montado una demo con vuestra marca para que veáis cómo podría llegaros cada solicitud con metros, estancias, fotos, timing y presupuesto ya recogidos:

https://presupuestos.nico-soto.es/demo/reformas-claiz

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/reformas-claiz";"reformas-claiz";"88aaa067-a8f2-4815-a9d4-f4c08285b127";"info@reformasclaiz.es";"https://www.reformasclaiz.es"
"6";"GETECO";"8.5";"https://www.geteco.es/pide-tu-presupuesto-sin-compromisos";"Hola, equipo de GETECO:

He visto que trabajáis reformas de pisos, chalets y casas, pero cuando alguien pide presupuesto la web no distingue prácticamente nada de eso. Cada solicitud os obliga después a averiguar qué quiere realmente el cliente antes de saber si merece la pena. He montado una demo sobre vuestra propia marca para enseñaros cómo podría funcionar:

https://presupuestos.nico-soto.es/demo/geteco

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/geteco";"geteco";"2473f6f9-b391-4c05-9a26-a74bc20797fe";"info@geteco.es";"https://www.geteco.es"
"7";"Reformas Rocha";"8.5";"https://www.reformasrocha.es/solicita-un-presupuesto";"Hola, equipo de Reformas Rocha:

Vuestra solicitud ya pregunta cuándo quiere empezar el cliente, que es más de lo que hace casi todo el sector. Pero todavía os falta saber qué quiere reformar, cuántos metros, qué alcance tiene o qué inversión maneja. Es decir: cada solicitud todavía exige trabajo antes de saber si merece la pena. Os he preparado una demo de cómo completaría ese proceso:

https://presupuestos.nico-soto.es/demo/reformas-rocha

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/reformas-rocha";"reformas-rocha";"49cb759b-7e3f-46ab-a1e4-d75e36f14ef5";"contacto@reformasrocha.es";"https://www.reformasrocha.es"
"8";"tAs obrAs y reformAs";"8";"http://www.tasobrasyreformas.es";"Hola, equipo de TAS Obras y Reformas:

He visto que prácticamente todo el contacto entra por WhatsApp o teléfono. Eso hace que cada nueva reforma empiece siempre igual: preguntar qué quiere hacer, metros, estancias, fotos, presupuesto... antes de saber siquiera si merece la pena. He montado una demo para que todo eso pueda llegaros recogido antes de empezar la conversación:

https://presupuestos.nico-soto.es/demo/tas-obras-y-reformas

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/tas-obras-y-reformas";"tas-obras-y-reformas";"dcf8a46d-5f03-4156-b232-f93b6f093394";"info@tasobrasyreformas.es";"http://www.tasobrasyreformas.es"
"9";"ROBLES Home";"8";"https://robleshome.com/contacto/";"Hola, equipo de ROBLES Home:

Me ha sorprendido que para una empresa centrada en reformas integrales, la solicitud online recoja prácticamente solo el email. Cada nuevo proyecto empieza entonces con vosotros pidiendo toda la información desde cero. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada reforma ya explicada:

https://presupuestos.nico-soto.es/demo/robles-home

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/robles-home";"robles-home";"f3ac440d-57dc-4a64-be8e-1a1cc2322e04";"info@robleshome.com";"https://robleshome.com"
"10";"Marcos MyM";"8";"https://reformasmarcosmym.com";"Hola, equipo de Reformas Marcos MyM:

He visto que al cliente básicamente le pedís que ""cuente su proyecto"" en un campo de texto. El problema es que luego sois vosotros quienes tenéis que traducir ese mensaje a metros, estancias, trabajos y presupuesto antes de saber si merece la pena. He preparado una demo para enseñaros cómo estructuraría ese paso automáticamente:

https://presupuestos.nico-soto.es/demo/marcos-mym

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/marcos-mym";"marcos-mym";"c84d8225-986b-4e85-97ae-e646705d363d";"info@reformasmarcosmym.com";"https://reformasmarcosmym.com"
