n;empresa;score;email;estado;fuente;conflicto_csv_base;email_base;telefono;resenas;ciudad;web;url_contacto;demo_url;slug;lead_id
1;REFORMAS VALENCIA MyJ;9.5;info@reformasvalenciamj.es;ok;csv;;;+34 624 90 33 32;93;;http://www.reformasvalenciamj.es;https://reformasvalenciamj.es/presupuesto-online-reforma-integral-valencia/;https://presupuestos.nico-soto.es/demo/reformas-valencia-myj;reformas-valencia-myj;a135b871-ab13-48f8-8ba9-243ed752bcf8
2;GrupoDMH Reformas Integrales;9;grupodmh.es@gmail.com;personal;csv;;;+34 618 17 13 91;133;;https://grupodmh.es;https://grupodmh.es/contacto/;https://presupuestos.nico-soto.es/demo/grupodmh;grupodmh;8fc370de-112c-4178-a9b9-347e2dfe5477
3;Reformas Nou Cabanyal;9;hola@noucabanyal.com;ok;csv;;;+34 963 22 38 64;130;;http://www.noucabanyal.com;https://noucabanyal.com/contacto/;https://presupuestos.nico-soto.es/demo/nou-cabanyal;nou-cabanyal;0ed0734e-989a-4f0b-80dc-4d031444ca0c
4;Reformas LUJAN;8.5;lujanreformasintegrales@gmail.com;personal;csv;;;+34 963 41 85 93;130;;http://www.reformaslujan.es;https://reformaslujan.es/contacto/;https://presupuestos.nico-soto.es/demo/reformas-lujan;reformas-lujan;fa1048cc-87fc-465e-a2bc-441794e2a267
5;Reformas Claiz;8.5;info@reformasclaiz.es;ok;csv;;;+34 626 87 87 98;88;;https://www.reformasclaiz.es;https://reformasclaiz.es/contacto/;https://presupuestos.nico-soto.es/demo/reformas-claiz;reformas-claiz;88aaa067-a8f2-4815-a9d4-f4c08285b127
6;GETECO;8.5;info@geteco.es;ok;csv;;;+34 699 83 44 22;79;;https://www.geteco.es;https://www.geteco.es/pide-tu-presupuesto-sin-compromisos;https://presupuestos.nico-soto.es/demo/geteco;geteco;2473f6f9-b391-4c05-9a26-a74bc20797fe
7;Reformas Rocha;8.5;contacto@reformasrocha.es;ok;csv;;;+34 622 22 28 08;71;;https://www.reformasrocha.es;https://www.reformasrocha.es/solicita-un-presupuesto;https://presupuestos.nico-soto.es/demo/reformas-rocha;reformas-rocha;49cb759b-7e3f-46ab-a1e4-d75e36f14ef5
8;tAs obrAs y reformAs;8;info@tasobrasyreformas.es;ok;csv;;;+34 963 31 39 03;60;;http://www.tasobrasyreformas.es;http://www.tasobrasyreformas.es;https://presupuestos.nico-soto.es/demo/tas-obras-y-reformas;tas-obras-y-reformas;dcf8a46d-5f03-4156-b232-f93b6f093394
9;ROBLES Home;8;info@robleshome.com;ok;csv;;;+34 605 45 92 16;56;;https://robleshome.com;https://robleshome.com/contacto/;https://presupuestos.nico-soto.es/demo/robles-home;robles-home;f3ac440d-57dc-4a64-be8e-1a1cc2322e04
10;Marcos MyM;8;info@reformasmarcosmym.com;ok;csv;;;+34 666 17 59 54;51;;https://reformasmarcosmym.com;https://reformasmarcosmym.com;https://presupuestos.nico-soto.es/demo/marcos-mym;marcos-mym;c84d8225-986b-4e85-97ae-e646705d363d
11;RFC Reformas;8;info@rfcreformas.es;ok;csv;;;+34 665 81 18 61;19;;https://rfcreformas.es;https://rfcreformas.es/solicita-presupuesto-gratis/;https://presupuestos.nico-soto.es/demo/rfc-reformas;rfc-reformas;c1d1c543-a541-4316-8c7a-97a86da95b5a
12;Metrocuadrado Estudio;7.5;info@metrocuadradoestudio.com;ok;csv;;;+34 961 65 52 69;85;;http://www.metrocuadradoestudio.com;https://metrocuadradoestudio.com/contacto/;https://presupuestos.nico-soto.es/demo/metrocuadrado;metrocuadrado;5cd367eb-f500-4c75-b43c-14f7e99c14f2
13;Construcciones Efenval;7.5;info@efenval.com;ok;csv;;;+34 960 91 44 99;38;;https://efenval.com;https://efenval.com/contacto/;https://presupuestos.nico-soto.es/demo/efenval;efenval;71663952-f557-47b7-9203-459e8f6fdf79
14;RDG Reformas;7.5;info@reformasvalenciardg.es;ok;csv;;;+34 618 21 17 33;36;;https://www.reformasvalenciardg.es;https://reformasvalenciardg.es/contacto/;https://presupuestos.nico-soto.es/demo/rdg-reformas;rdg-reformas;2c36ce49-99a0-475f-aa63-2b9f878f9510
15;Reformas Turia;7.5;reformas.valencia.levante@gmail.com;personal;csv;;;+34 611 48 87 01;30;;https://reformasintegrales-valencia.com.es;https://reformasintegrales-valencia.com.es;https://presupuestos.nico-soto.es/demo/reformas-turia;reformas-turia;e1d69b5f-3ac9-4820-bae5-0283ea8bf628
