empresa,ciudad,nota,email,cluster,asunto,cuerpo,followup_asunto,followup_cuerpo,enviar,aviso
REFORMAS VALENCIA MyJ,València,9.5,info@reformasvalenciamj.es,Gancho,tu presupuesto online,"Hola,

Hace unas semanas te escribí por el formulario de tu web; te lo resumo aquí por si se perdió.

Vi que destacas el ""Presupuesto Online"" como ventaja, y me quedé pensando en qué pasaría si el cliente saliera de ahí con una cifra orientativa.

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es",Re: tu presupuesto online,"Hola de nuevo,

¿Quién lleva los presupuestos en REFORMAS VALENCIA MyJ? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es",TRUE,
GrupoDMH Reformas Integrales,València,9.0,grupodmh.es@gmail.com,Dolor,presupuestar sin saber los metros,"Hola,

Hace unas semanas te escribí por el formulario de tu web; te lo resumo aquí por si se perdió.

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es",Re: presupuestar sin saber los metros,"Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es",TRUE,
Reformas Nou Cabanyal,València,9.0,hola@noucabanyal.com,Gancho,reforma integral de vivienda,"Hola,

Hace unas semanas te escribí por el formulario de tu web; te lo resumo aquí por si se perdió.

Vi que estáis especializados en reforma integral de vivienda, y justo para ese tipo de obra he montado algo.

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es",Re: reforma integral de vivienda,"Hola de nuevo,

¿Quién lleva los presupuestos en Reformas Nou Cabanyal? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es",TRUE,
Reformas LUJAN,València,8.5,lujanreformasintegrales@gmail.com,Curiosidad,he probado tu formulario,"Hola,

Hace unas semanas usé tu formulario para escribirte (era yo, no un cliente). Quería ver cómo os llega una solicitud de presupuesto.

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es",Re: he probado tu formulario,"Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es",TRUE,
Reformas Claiz,Burjassot,8.5,info@reformasclaiz.es,Curiosidad,he probado tu formulario,"Hola,

Hace unas semanas usé tu formulario para escribirte (era yo, no un cliente). Quería ver cómo os llega una solicitud de presupuesto.

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es",Re: he probado tu formulario,"Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es",TRUE,
GETECO,València,8.5,info@geteco.es,Dolor,presupuestar sin saber los metros,"Hola,

Hace unas semanas te escribí por el formulario de tu web; te lo resumo aquí por si se perdió.

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es",Re: presupuestar sin saber los metros,"Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es",TRUE,
Reformas Rocha,València,8.5,contacto@reformasrocha.es,Gancho,"sabes cuándo, pero no qué","Hola,

Hace unas semanas te escribí por el formulario de tu web; te lo resumo aquí por si se perdió.

Vi que en tu página de presupuesto ya preguntas cuándo quiere hacer la obra el cliente, cosa que casi nadie pregunta. Me quedé pensando en el paso siguiente: qué obra y de qué tamaño.

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: sabes cuándo, pero no qué","Hola de nuevo,

¿Quién lleva los presupuestos en Reformas Rocha? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es",TRUE,
tAs obrAs y reformAs,València,8.0,info@tasobrasyreformas.es,Gancho,¿todo por whatsapp?,"Hola,

Hace unas semanas intenté contactaros; te lo resumo aquí por si se perdió.

Vi que en vuestra web no hay formulario y todo entra por WhatsApp y teléfono, así que cada conversación empieza preguntando lo mismo.

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es",Re: ¿todo por whatsapp?,"Hola de nuevo,

¿Quién lleva los presupuestos en tAs obrAs y reformAs? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es",TRUE,Su web no tiene formulario: confirma por dónde les contactaste el 25-ago.
Reformas Marcos MyM,València,8.0,info@reformasmarcosmym.com,Dolor,presupuestar sin saber los metros,"Hola,

Hace unas semanas te escribí por el formulario de tu web; te lo resumo aquí por si se perdió.

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es",Re: presupuestar sin saber los metros,"Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es",TRUE,
RFC Reformas,València,8.0,info@rfcreformas.es,Gancho,¿presupuesto gratis?,"Hola,

Hace unas semanas te escribí por el formulario de tu web; te lo resumo aquí por si se perdió.

Vi tu página de ""Solicita presupuesto gratis"" y me dio que pensar.

He montado una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es",Re: ¿presupuesto gratis?,"Hola de nuevo,

¿Quién lleva los presupuestos en RFC Reformas? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es",TRUE,
